Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.7411764705882353,0.5493425605536333,0.7411764705882353,0.6310015898251192
Logistic Regression,0.21176470588235294,0.5131652661064425,0.21176470588235294,0.274158215010142
