term,importance
partner,0.1383070497754108
cm,0.13805097289935592
heated,0.1380093876901787
manhole,0.13793881911357064
additive,0.13687049063242082
release,0.13597439628339103
overflow,0.13544928725771568
blunt,0.13503373531957918
filling,0.13388604830990597
exerted,0.1338711356605608
hand structure,0.13346640325407896
mining,0.13279927093192284
injured,0.1327928458686301
approximate,0.13274602179333223
execution,0.1316836703632877
climbs,0.13117001642138088
car,0.13114221756900368
easel,0.12943341035408454
parked,0.1293744763762088
tension,0.12920751471079348
helmet,0.1275024190092086
reaching,0.12744105662115202
having,0.12743314448035906
tower,0.12731181501418734
inner tube,0.12697793746236002
employee face,0.12671784598582592
hours mr,0.1266572713862872
lights,0.12655533801355628
strike left,0.1264636641009605
chute,0.12633743185074592
hits,0.12593282451665885
barretilla,0.12491491371533167
hole,0.1248054622782813
projection,0.12480372554159118
propeller,0.12462160674674658
victim,0.12458633092437713
support,0.12438387471856674
employee reports,0.1237754105454463
second,0.12328790208098502
partner company,0.12301398445076447
employee partner,0.12301398445076447
limb,0.12300254710062178
stop,0.12183076160689896
started,0.12178881583835215
ladder,0.12150745986101205
area,0.12135167343496092
vehicle,0.1210990926308357
pressed,0.12102662422033923
approximately pm,0.1210170388662544
taken,0.12096387867459775
suffers,0.12095967009919321
activated,0.12006830990307589
albino,0.11994671728094504
pipes diameter,0.11976005423579453
forehead causing,0.11953606569831918
used rubber,0.11948986309729244
welder,0.11940155783973586
height,0.11939057758799984
lower,0.1184547680768608
sanitation,0.11833192966378969
uses,0.1183172436289768
filters,0.11774013161987613
fall,0.11758851922310345
phase,0.11728897990496871
attention,0.11698848599278702
correct,0.11642579603252778
bar,0.11565263854408814
wound right,0.1151863708955857
workers,0.11516955874148127
causing injury,0.1150961203530114
stilson key,0.11481140022375644
stilson,0.11481140022375644
rubber gloves,0.11478578575498086
work area,0.11476783272287454
operator mr,0.11476683175219729
emergency,0.11367007589575343
hospital,0.11357282363407391
superficial,0.11335338199597207
suffering,0.113331889419741
withdrawal,0.11315978750018378
rock,0.1129946180839482
company,0.11294151425883688
hammer,0.11284466186089774
wrench,0.11277818609531372
throwing,0.11267728497014526
ends,0.11263773852814399
approaches,0.11228476122193817
structure,0.11228338733788623
imprisoned,0.1121381410037429
center attention,0.11211997328984509
received,0.11206799814567703
fracture,0.11188113551586747
mining car,0.11183664431359319
fifth finger,0.11177924355455435
hw,0.11173204636172673
worker,0.11147312781595922
start,0.11132384769749255
door,0.11122144324448571
canvas,0.1110405440439604
performing,0.11035563150982908
eye,0.11010849936869807
medical,0.11010541977695706
drilling machine,0.10995080961837041
caused,0.10951141266063114
strike,0.10928538632813525
verify,0.10925868336155178
glasses,0.10912567327946907
heading,0.1090751842621986
protective plate,0.10899652603732961
access,0.10895799683339065
