Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7411764705882353,0.5493425605536333,0.7411764705882353,0.6310015898251192
Random Forest,0.7294117647058823,0.5470588235294118,0.7294117647058823,0.6252100840336134
