Model,Accuracy,Precision,Recall,F1 Score
BERT,0.7458823529411764,0.6270810210876803,0.7458823529411764,0.6395731319554849
LSTM,0.7411764705882353,0.5493425605536333,0.7411764705882353,0.6310015898251192
BiLSTM,0.7411764705882353,0.5493425605536333,0.7411764705882353,0.6310015898251192
